2016-11-22 13:34:34,821 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for unice.miage.m1.projet:Plugin:jar:1.0-SNAPSHOT is missing, no dependency information available
2016-11-22 13:34:34,912 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: unice.miage.m1.projet:Moteur:1.0-SNAPSHOT @ /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/pom.xml.
2016-11-22 13:34:35,012 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:35,013 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/src/main/resources
2016-11-22 13:34:35,017 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:35,018 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/src/test/resources
2016-11-22 13:34:35,062 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for unice.miage.m1.projet:Moteur:jar:1.0-SNAPSHOT is missing, no dependency information available
2016-11-22 13:34:35,077 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:35,078 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/src/main/resources
2016-11-22 13:34:35,082 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:35,083 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Moteur/src/test/resources
2016-11-22 13:34:36,530 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for unice.miage.m1.projet:Plugin:jar:1.0-SNAPSHOT is missing, no dependency information available
2016-11-22 13:34:36,578 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-11-22 13:34:36,579 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/deptinfo/Documents/Projet-PA-RobotWAr/Plugin/src/main/resources
